From	To	Species	Gene Name
P00734	F2	Homo sapiens	coagulation factor II, thrombin(F2)
P01023	A2M	Homo sapiens	alpha-2-macroglobulin(A2M)
P02679	FGG	Homo sapiens	fibrinogen gamma chain(FGG)
P02787	TF	Homo sapiens	transferrin(TF)
P01042	kng1	Homo sapiens	kininogen 1(KNG1)
P15924	DSP	Homo sapiens	desmoplakin(DSP)
P02675	FGB	Homo sapiens	fibrinogen beta chain(FGB)
Q8N4C8	MINK1	Homo sapiens	misshapen like kinase 1(MINK1)
O43566	RGS14	Homo sapiens	regulator of G-protein signaling 14(RGS14)
P07360	C8G	Homo sapiens	complement C8 gamma chain(C8G)
P05109	S100A8	Homo sapiens	S100 calcium binding protein A8(S100A8)
Q9UBC1	NFKBIL1	Homo sapiens	NFKB inhibitor like 1(NFKBIL1)
P08123	COL1A2	Homo sapiens	collagen type I alpha 2 chain(COL1A2)
Q07954	LRP1	Homo sapiens	LDL receptor related protein 1(LRP1)
P11413	G6PD	Homo sapiens	glucose-6-phosphate dehydrogenase(G6PD)
P10909	CLU	Homo sapiens	clusterin(CLU)
P02790	HPX	Homo sapiens	hemopexin(HPX)
Q9BXJ0	C1QTNF5	Homo sapiens	C1q and tumor necrosis factor related protein 5(C1QTNF5)
P02750	LRG1	Homo sapiens	leucine rich alpha-2-glycoprotein 1(LRG1)
P02751	FN1	Homo sapiens	fibronectin 1(FN1)
P02753	RBP4	Homo sapiens	retinol binding protein 4(RBP4)
P25311	AZGP1	Homo sapiens	alpha-2-glycoprotein 1, zinc-binding(AZGP1)
Q9ULX6	AKAP8L	Homo sapiens	A-kinase anchoring protein 8 like(AKAP8L)
P68871	HBB	Homo sapiens	hemoglobin subunit beta(HBB)
Q14690	PDCD11	Homo sapiens	programmed cell death 11(PDCD11)
Q9UHF4	IL20RA	Homo sapiens	interleukin 20 receptor subunit alpha(IL20RA)
P01834	igkc	Homo sapiens	immunoglobulin kappa constant(IGKC)
P00751	CFB	Homo sapiens	complement factor B(CFB)
Q00653	NFKB2	Homo sapiens	nuclear factor kappa B subunit 2(NFKB2)
P51617	IRAK1	Homo sapiens	interleukin 1 receptor associated kinase 1(IRAK1)
P00450	CP	Homo sapiens	ceruloplasmin(CP)
P02760	AMBP	Homo sapiens	alpha-1-microglobulin/bikunin precursor(AMBP)
P62805	HIST4H4	Homo sapiens	histone cluster 4 H4(HIST4H4)
P02763	ORM1	Homo sapiens	orosomucoid 1(ORM1)
P02768	ALB	Homo sapiens	albumin(ALB)
P02765	AHSG	Homo sapiens	alpha 2-HS glycoprotein(AHSG)
P02766	TTR	Homo sapiens	transthyretin(TTR)
P16284	PECAM1	Homo sapiens	platelet and endothelial cell adhesion molecule 1(PECAM1)
P06727	APOA4	Homo sapiens	apolipoprotein A4(APOA4)
P43652	AFM	Homo sapiens	afamin(AFM)
Q13478	IL18R1	Homo sapiens	interleukin 18 receptor 1(IL18R1)
P10721	KIT	Homo sapiens	KIT proto-oncogene receptor tyrosine kinase(KIT)
Q15047	SETDB1	Homo sapiens	SET domain bifurcated 1(SETDB1)
P05155	SERPING1	Homo sapiens	serpin family G member 1(SERPING1)
P04004	VTN	Homo sapiens	vitronectin(VTN)
P01766	IGHV3-13	Homo sapiens	immunoglobulin heavy variable 3-13(IGHV3-13)
